sub_id,shortest_path,startpoint_id,endpoint_id,opt1_id,opt2_id,correct_choice,opt1_distance,opt2_distance,softmax_temperature,p_choose_opt1,simulated_choice
465,2,3,1,2,5,2,2,4,-3.6237622518092394,0.9992885718895153,2
465,2,3,6,4,2,4,2,3,-3.6237622518092394,0.9740113297369076,4
465,2,3,6,4,5,4,2,3,-3.6237622518092394,0.9740113297369076,4
465,2,3,7,5,2,5,2,4,-3.6237622518092394,0.9992885718895153,5
465,2,3,7,5,4,5,2,3,-3.6237622518092394,0.9740113297369076,5
465,2,4,1,2,3,2,2,3,-3.6237622518092394,0.9740113297369076,2
465,2,4,1,2,5,2,2,4,-3.6237622518092394,0.9992885718895153,2
465,2,4,1,2,6,2,2,6,-3.6237622518092394,0.9999994931493812,2
465,2,4,7,5,2,5,2,4,-3.6237622518092394,0.9992885718895153,5
465,2,4,7,5,3,5,2,3,-3.6237622518092394,0.9740113297369076,5
465,2,4,7,6,2,6,2,4,-3.6237622518092394,0.9992885718895153,6
465,2,4,7,6,3,6,2,3,-3.6237622518092394,0.9740113297369076,6
465,2,5,2,3,7,3,2,4,-3.6237622518092394,0.9992885718895153,3
465,2,5,2,4,7,4,2,4,-3.6237622518092394,0.9992885718895153,4
465,2,5,6,4,3,4,2,3,-3.6237622518092394,0.9740113297369076,4
465,2,5,6,7,3,7,2,3,-3.6237622518092394,0.9740113297369076,7
465,2,6,2,4,7,4,2,4,-3.6237622518092394,0.9992885718895153,4
465,2,6,3,4,7,4,2,3,-3.6237622518092394,0.9740113297369076,4
465,2,7,3,5,6,5,2,3,-3.6237622518092394,0.9740113297369076,5
465,2,8,2,1,9,1,2,8,-3.6237622518092394,0.9999999996391553,1
465,2,8,2,1,10,1,2,8,-3.6237622518092394,0.9999999996391553,1
465,2,8,11,9,1,9,2,8,-3.6237622518092394,0.9999999996391553,9
465,2,8,11,9,10,9,2,3,-3.6237622518092394,0.9740113297369076,9
465,2,8,12,10,1,10,2,8,-3.6237622518092394,0.9999999996391553,10
465,2,8,12,10,9,10,2,3,-3.6237622518092394,0.9740113297369076,10
465,2,9,1,8,11,8,2,5,-3.6237622518092394,0.999981004448754,8
465,2,9,10,8,11,8,2,3,-3.6237622518092394,0.9740113297369076,8
465,2,9,12,11,8,11,2,3,-3.6237622518092394,0.9740113297369076,11
465,2,9,13,11,8,11,2,4,-3.6237622518092394,0.9992885718895153,11
465,2,10,1,8,12,8,2,5,-3.6237622518092394,0.999981004448754,8
465,2,10,9,8,12,8,2,3,-3.6237622518092394,0.9740113297369076,8
465,2,10,11,12,8,12,2,3,-3.6237622518092394,0.9740113297369076,12
465,2,10,13,12,8,12,2,4,-3.6237622518092394,0.9992885718895153,12
465,2,11,8,9,12,9,2,3,-3.6237622518092394,0.9740113297369076,9
465,2,11,8,9,13,9,2,4,-3.6237622518092394,0.9992885718895153,9
465,2,11,10,12,9,12,2,3,-3.6237622518092394,0.9740113297369076,12
465,2,11,10,12,13,12,2,3,-3.6237622518092394,0.9740113297369076,12
465,2,12,8,10,11,10,2,3,-3.6237622518092394,0.9740113297369076,10
465,2,12,8,10,13,10,2,4,-3.6237622518092394,0.9992885718895153,10
465,2,12,9,11,10,11,2,3,-3.6237622518092394,0.9740113297369076,11
465,2,12,9,11,13,11,2,3,-3.6237622518092394,0.9740113297369076,11
465,2,13,9,11,12,11,2,3,-3.6237622518092394,0.9740113297369076,11
465,2,13,10,12,11,12,2,3,-3.6237622518092394,0.9740113297369076,12
465,3,1,5,2,8,2,3,8,-3.6237622518092394,0.9999999864761531,2
465,3,1,6,2,8,2,3,8,-3.6237622518092394,0.9999999864761531,2
465,3,1,11,8,2,8,3,8,-3.6237622518092394,0.9999999864761531,8
465,3,1,12,8,2,8,3,8,-3.6237622518092394,0.9999999864761531,8
465,3,2,7,3,1,3,3,8,-3.6237622518092394,0.9999999864761531,3
465,3,2,7,4,1,4,3,8,-3.6237622518092394,0.9999999864761531,4
465,3,2,9,1,3,1,3,8,-3.6237622518092394,0.9999999864761531,1
465,3,2,9,1,4,1,3,8,-3.6237622518092394,0.9999999864761531,1
465,3,2,10,1,3,1,3,8,-3.6237622518092394,0.9999999864761531,1
465,3,2,10,1,4,1,3,8,-3.6237622518092394,0.9999999864761531,1
465,3,3,8,2,4,2,3,4,-3.6237622518092394,0.9740113297369076,2
465,3,3,8,2,5,2,3,5,-3.6237622518092394,0.9992885718895153,2
465,3,4,8,2,3,2,3,4,-3.6237622518092394,0.9740113297369076,2
465,3,4,8,2,5,2,3,5,-3.6237622518092394,0.9992885718895153,2
465,3,4,8,2,6,2,3,7,-3.6237622518092394,0.9999994931493812,2
465,3,5,1,3,7,3,3,5,-3.6237622518092394,0.9992885718895153,3
465,3,5,1,4,7,4,3,5,-3.6237622518092394,0.9992885718895153,4
465,3,6,1,4,7,4,3,5,-3.6237622518092394,0.9992885718895153,4
465,3,8,3,1,9,1,3,8,-3.6237622518092394,0.9999999864761531,1
465,3,8,3,1,10,1,3,8,-3.6237622518092394,0.9999999864761531,1
465,3,8,4,1,9,1,3,8,-3.6237622518092394,0.9999999864761531,1
465,3,8,4,1,10,1,3,8,-3.6237622518092394,0.9999999864761531,1
