sub_id,node_id,node_name,node_race,node_gender,node_stim
8,11,David,white,male,CFD-WM-217-070-N
8,12,Sophia,latine,female,CFD-LF-219-223-N
8,13,Michael,black,male,CFD-BM-217-082-N
9,1,Elijah,black,male,CFD-BM-207-024-N
9,2,Jayden,asian,male,CFD-AM-207-108-N
9,3,Emma,latine,female,CFD-LF-254-125-N
9,4,Alvin,asian,male,CFD-AM-211-052-N
9,5,Justin,latine,male,CFD-LM-239-075-N
9,6,Bella,latine,female,CFD-LF-206-078-N
9,7,Anthony,latine,male,CFD-LM-212-143-N
9,8,Jacob,black,male,CFD-BM-246-192-N
9,9,Joseph,white,male,CFD-WM-210-057-N
9,10,Anna,asian,female,CFD-AF-233-190-N
9,11,Madison,black,female,CFD-BF-235-168-N
9,12,Jada,black,female,CFD-BF-232-187-N
9,13,Elaine,asian,female,CFD-AF-202-122-N
10,1,Ryan,white,male,CFD-WM-203-023-N
10,2,Alice,asian,female,CFD-AF-227-207-N
10,3,Anthony,latine,male,CFD-LM-249-001-N
10,4,Justin,asian,male,CFD-AM-220-134-N
10,5,Ethan,latine,male,CFD-LM-253-075-N
10,6,Amari,black,male,CFD-BM-229-209-N
10,7,Sophia,asian,female,CFD-AF-256-160-N
10,8,Taylor,black,female,CFD-BF-201-080-N
10,9,Kaylee,latine,female,CFD-LF-219-223-N
10,10,Zoe,black,female,CFD-BF-249-091-N
10,11,Andrew,asian,male,CFD-AM-225-102-N
10,12,Kimberly,latine,female,CFD-LF-217-082-N
10,13,David,black,male,CFD-BM-237-188-N
11,1,Dylan,white,male,CFD-WM-200-034-N
11,2,William,asian,male,CFD-AM-207-108-N
11,3,Camila,latine,female,CFD-LF-207-198-N
11,4,Ashley,latine,female,CFD-LF-208-127-N
11,5,Anthony,black,male,CFD-BM-214-075-N
11,6,Sophia,asian,female,CFD-AF-217-155-N
11,7,Vicky,asian,female,CFD-AF-224-026-N
11,8,Makayla,black,female,CFD-BF-242-154-N
11,9,Michael,latine,male,CFD-LM-238-129-N
11,10,Jacob,asian,male,CFD-AM-252-114-N
11,11,Sarah,black,female,CFD-BF-247-179-N
11,12,Jayden,latine,male,CFD-LM-211-128-N
11,13,Daniel,black,male,CFD-BM-229-209-N
12,1,Jeremiah,black,male,CFD-BM-235-226-N
12,2,Savannah,black,female,CFD-BF-242-154-N
12,3,Sarah,asian,female,CFD-AF-234-208-N
12,4,Eric,asian,male,CFD-AM-211-052-N
12,5,Ryan,latine,male,CFD-LM-244-068-N
12,6,Joshua,latine,male,CFD-LM-214-165-N
12,7,Jack,white,male,CFD-WM-251-002-N
12,8,Isabella,latine,female,CFD-LF-210-220-N
12,9,Amy,latine,female,CFD-LF-212-066-N
12,10,Jaden,black,male,CFD-BM-208-065-N
12,11,Nia,black,female,CFD-BF-244-231-N
12,12,Joanna,asian,female,CFD-AF-246-242-N
12,13,Austin,asian,male,CFD-AM-252-114-N
13,1,Daniel,white,male,CFD-WM-251-002-N
13,2,Kaylee,latine,female,CFD-LF-227-054-N
13,3,Josiah,black,male,CFD-BM-246-192-N
13,4,Austin,asian,male,CFD-AM-202-079-N
13,5,Jonathan,asian,male,CFD-AM-204-122-N
13,6,Aiden,black,male,CFD-BM-208-065-N
13,7,Nia,black,female,CFD-BF-222-240-N
13,8,Arianna,latine,female,CFD-LF-217-082-N
13,9,Anthony,latine,male,CFD-LM-238-129-N
13,10,Joshua,latine,male,CFD-LM-252-076-N
13,11,Serenity,black,female,CFD-BF-232-187-N
13,12,Isabella,asian,female,CFD-AF-228-173-N
13,13,Elaine,asian,female,CFD-AF-247-278-N
14,1,Anthony,asian,male,CFD-AM-211-052-N
14,2,Abigail,black,female,CFD-BF-249-091-N
14,3,Sophia,latine,female,CFD-LF-226-174-N
14,4,Jacob,latine,male,CFD-LM-253-075-N
14,5,Elaine,asian,female,CFD-AF-256-160-N
14,6,Vicky,asian,female,CFD-AF-201-060-N
14,7,Olivia,latine,female,CFD-LF-206-078-N
14,8,David,black,male,CFD-BM-203-001-N
14,9,Ethan,asian,male,CFD-AM-225-102-N
14,10,Sebastian,latine,male,CFD-LM-239-075-N
14,11,William,white,male,CFD-WM-208-068-N
14,12,Jayden,black,male,CFD-BM-200-046-N
14,13,Arianna,black,female,CFD-BF-217-189-N
15,1,Dylan,asian,male,CFD-AM-209-048-N
15,2,Melanie,latine,female,CFD-LF-228-125-N
15,3,Noah,latine,male,CFD-LM-210-156-N
15,4,Chelsea,black,female,CFD-BF-217-189-N
15,5,Mia,asian,female,CFD-AF-216-106-N
15,6,Aaliyah,black,female,CFD-BF-212-315-N
15,7,Ethan,white,male,CFD-WM-251-002-N
15,8,Joshua,black,male,CFD-BM-205-001-N
15,9,Mason,latine,male,CFD-LM-200-045-N
15,10,Vincent,asian,male,CFD-AM-201-076-N
15,11,Nicole,latine,female,CFD-LF-229-164-N
15,12,Malachi,black,male,CFD-BM-226-276-N
15,13,Anna,asian,female,CFD-AF-246-242-N
16,1,Emma,latine,female,CFD-LF-252-172-N
16,2,Abigail,latine,female,CFD-LF-214-090-N
16,3,William,white,male,CFD-WM-208-068-N
16,4,Jacob,asian,male,CFD-AM-211-052-N
16,5,Angela,asian,female,CFD-AF-239-171-N
16,6,Luis,latine,male,CFD-LM-208-110-N
16,7,Matthew,black,male,CFD-BM-247-240-N
16,8,Aiden,latine,male,CFD-LM-252-076-N
16,9,Jada,black,female,CFD-BF-221-223-N
16,10,Madison,black,female,CFD-BF-232-187-N
16,11,Catherine,asian,female,CFD-AF-224-026-N
16,12,Noah,black,male,CFD-BM-204-003-N
16,13,Alvin,asian,male,CFD-AM-250-149-N
17,1,Jonathan,asian,male,CFD-AM-209-048-N
17,2,Ivy,asian,female,CFD-AF-201-060-N
17,3,Nyla,black,female,CFD-BF-221-223-N
17,4,Kaylee,latine,female,CFD-LF-239-148-N
17,5,Anthony,latine,male,CFD-LM-249-001-N
17,6,Jacob,black,male,CFD-BM-247-240-N
17,7,Nevaeh,black,female,CFD-BF-201-080-N
17,8,Mason,latine,male,CFD-LM-212-143-N
17,9,Claire,asian,female,CFD-AF-224-026-N
17,10,Jack,white,male,CFD-WM-208-068-N
17,11,Camila,latine,female,CFD-LF-208-127-N
17,12,Ethan,black,male,CFD-BM-203-001-N
17,13,Aiden,asian,male,CFD-AM-251-124-N
18,1,David,black,male,CFD-BM-246-192-N
18,2,Tiffany,asian,female,CFD-AF-214-139-N
18,3,Alice,asian,female,CFD-AF-233-190-N
18,4,Alvin,asian,male,CFD-AM-225-102-N
18,5,Brandon,latine,male,CFD-LM-247-095-N
18,6,Isabella,latine,female,CFD-LF-230-203-N
18,7,Aaliyah,black,female,CFD-BF-226-119-N
18,8,Zoe,black,female,CFD-BF-223-250-N
18,9,Lucas,asian,male,CFD-AM-238-269-N
18,10,Ayden,black,male,CFD-BM-226-276-N
18,11,Aiden,latine,male,CFD-LM-212-143-N
18,12,Matthew,white,male,CFD-WM-202-107-N
18,13,Olivia,latine,female,CFD-LF-212-066-N
19,1,Nicole,asian,female,CFD-AF-246-242-N
19,2,Aaron,asian,male,CFD-AM-208-143-N
19,3,Tiffany,asian,female,CFD-AF-205-155-N
19,4,Olivia,latine,female,CFD-LF-215-157-N
19,5,Henry,white,male,CFD-WM-208-068-N
19,6,Khloe,black,female,CFD-BF-201-080-N
19,7,Jason,asian,male,CFD-AM-202-079-N
19,8,Justin,black,male,CFD-BM-205-001-N
19,9,Joshua,latine,male,CFD-LM-244-068-N
19,10,Isabella,latine,female,CFD-LF-207-198-N
19,11,Luis,latine,male,CFD-LM-253-075-N
19,12,Ethan,black,male,CFD-BM-237-188-N
19,13,Savannah,black,female,CFD-BF-249-091-N
20,1,Madison,latine,female,CFD-LF-252-172-N
20,2,Lucas,latine,male,CFD-LM-200-045-N
20,3,Justin,black,male,CFD-BM-246-192-N
20,4,Joanna,asian,female,CFD-AF-234-208-N
20,5,Serenity,black,female,CFD-BF-226-119-N
20,6,Ryan,asian,male,CFD-AM-209-048-N
20,7,Arianna,latine,female,CFD-LF-213-079-N
20,8,Ashley,asian,female,CFD-AF-233-190-N
20,9,Nicholas,white,male,CFD-WM-251-002-N
20,10,Nia,black,female,CFD-BF-247-179-N
20,11,Kevin,latine,male,CFD-LM-216-082-N
20,12,Aiden,asian,male,CFD-AM-208-143-N
20,13,Jacob,black,male,CFD-BM-226-276-N
21,1,Jayden,latine,male,CFD-LM-238-129-N
21,2,Savannah,black,female,CFD-BF-242-154-N
21,3,Evan,asian,male,CFD-AM-234-355-N
21,4,Tyler,black,male,CFD-BM-208-065-N
21,5,Anthony,black,male,CFD-BM-210-148-N
21,6,Andy,asian,male,CFD-AM-202-079-N
21,7,Catherine,asian,female,CFD-AF-227-207-N
21,8,Valentina,latine,female,CFD-LF-219-223-N
21,9,Noah,latine,male,CFD-LM-207-004-N
21,10,Thomas,white,male,CFD-WM-217-070-N
21,11,Ashley,latine,female,CFD-LF-229-164-N
21,12,Olivia,asian,female,CFD-AF-201-060-N
21,13,Taylor,black,female,CFD-BF-222-240-N
