sub_id,node_id,node_name,node_race,node_gender,node_stim
13,6,Allison,latine,female,CFD-LF-207-198-N
13,7,Jacob,latine,male,CFD-LM-212-143-N
13,8,Jaden,black,male,CFD-BM-237-188-N
13,9,Mia,black,female,CFD-BF-210-130-N
13,10,Alexander,asian,male,CFD-AM-252-114-N
13,11,Benjamin,white,male,CFD-WM-247-084-N
13,12,Charlotte,white,female,CFD-WF-208-068-N
13,13,Adrian,latine,male,CFD-LM-239-075-N
14,1,Mia,asian,female,CFD-AF-235-170-N
14,2,Ryan,asian,male,CFD-AM-237-154-N
14,3,Nevaeh,black,female,CFD-BF-244-231-N
14,4,Madison,latine,female,CFD-LF-234-139-N
14,5,John,white,male,CFD-WM-218-074-N
14,6,Tristan,black,male,CFD-BM-235-226-N
14,7,Chloe,white,female,CFD-WF-219-038-N
14,8,Abigail,black,female,CFD-BF-221-223-N
14,9,Jack,white,male,CFD-WM-234-118-N
14,10,Daniel,black,male,CFD-BM-217-082-N
14,11,Aiden,latine,male,CFD-LM-223-175-N
14,12,Iris,asian,female,CFD-AF-228-173-N
14,13,Olivia,white,female,CFD-WF-232-161-N
15,1,Grace,asian,female,CFD-AF-202-122-N
15,2,Iris,asian,female,CFD-AF-233-190-N
15,3,Matthew,asian,male,CFD-AM-246-184-N
15,4,Jose,latine,male,CFD-LM-238-129-N
15,5,Abigail,latine,female,CFD-LF-227-054-N
15,6,Ryan,white,male,CFD-WM-239-128-N
15,7,Mason,black,male,CFD-BM-203-001-N
15,8,Ava,white,female,CFD-WF-214-122-N
15,9,Nyla,black,female,CFD-BF-201-080-N
15,10,David,white,male,CFD-WM-210-057-N
15,11,Arianna,black,female,CFD-BF-222-240-N
15,12,Joshua,black,male,CFD-BM-217-082-N
15,13,Julia,white,female,CFD-WF-212-050-N
16,1,Chloe,white,female,CFD-WF-214-122-N
16,2,Aiden,latine,male,CFD-LM-212-143-N
16,3,Dylan,asian,male,CFD-AM-234-355-N
16,4,Noah,latine,male,CFD-LM-238-129-N
16,5,Anthony,asian,male,CFD-AM-202-079-N
16,6,Makayla,black,female,CFD-BF-232-187-N
16,7,Leslie,latine,female,CFD-LF-227-054-N
16,8,Ella,white,female,CFD-WF-247-065-N
16,9,Maya,asian,female,CFD-AF-224-026-N
16,10,Angelina,latine,female,CFD-LF-234-139-N
16,11,Jaden,black,male,CFD-BM-239-136-N
16,12,Benjamin,white,male,CFD-WM-203-023-N
16,13,Malachi,black,male,CFD-BM-214-075-N
17,1,Alexandra,white,female,CFD-WF-227-002-N
17,2,Angela,asian,female,CFD-AF-252-135-N
17,3,William,asian,male,CFD-AM-202-079-N
17,4,Christopher,latine,male,CFD-LM-244-068-N
17,5,Nia,black,female,CFD-BF-223-250-N
17,6,Anna,asian,female,CFD-AF-214-139-N
17,7,Michael,white,male,CFD-WM-218-074-N
17,8,Emily,latine,female,CFD-LF-232-199-N
17,9,Amari,black,male,CFD-BM-208-065-N
17,10,Mia,latine,female,CFD-LF-210-220-N
17,11,Isaiah,black,male,CFD-BM-247-240-N
17,12,Brianna,black,female,CFD-BF-216-132-N
17,13,Julia,white,female,CFD-WF-213-031-N
18,1,Matthew,asian,male,CFD-AM-209-048-N
18,2,Angela,asian,female,CFD-AF-221-147-N
18,3,Nathaniel,black,male,CFD-BM-200-046-N
18,4,Anna,asian,female,CFD-AF-226-251-N
18,5,Alexander,latine,male,CFD-LM-211-128-N
18,6,Thomas,white,male,CFD-WM-238-020-N
18,7,Emma,latine,female,CFD-LF-229-164-N
18,8,David,black,male,CFD-BM-229-209-N
18,9,Andrew,white,male,CFD-WM-247-084-N
18,10,Esther,white,female,CFD-WF-213-031-N
18,11,Chelsea,black,female,CFD-BF-210-130-N
18,12,Zoe,black,female,CFD-BF-216-132-N
18,13,Christian,latine,male,CFD-LM-212-143-N
19,1,Jacob,white,male,CFD-WM-214-026-N
19,2,Sarah,black,female,CFD-BF-216-132-N
19,3,Isabella,asian,female,CFD-AF-222-134-N
19,4,Ryan,asian,male,CFD-AM-234-355-N
19,5,Jason,asian,male,CFD-AM-244-222-N
19,6,Elijah,black,male,CFD-BM-207-024-N
19,7,Lucas,white,male,CFD-WM-253-119-N
19,8,Abigail,white,female,CFD-WF-201-156-N
19,9,Noah,latine,male,CFD-LM-239-075-N
19,10,Chloe,asian,female,CFD-AF-211-066-N
19,11,Emily,latine,female,CFD-LF-210-220-N
19,12,Daniel,latine,male,CFD-LM-243-075-N
19,13,Camila,latine,female,CFD-LF-217-082-N
20,1,Daniel,asian,male,CFD-AM-220-134-N
20,2,Liam,black,male,CFD-BM-201-077-N
20,3,Christopher,latine,male,CFD-LM-238-129-N
20,4,Amy,latine,female,CFD-LF-251-057-N
20,5,Kaylee,latine,female,CFD-LF-219-223-N
20,6,Isabella,white,female,CFD-WF-252-159-N
20,7,Joshua,black,male,CFD-BM-214-075-N
20,8,Ava,black,female,CFD-BF-223-250-N
20,9,Benjamin,white,male,CFD-WM-238-020-N
20,10,Alexander,white,male,CFD-WM-235-147-N
20,11,Maya,asian,female,CFD-AF-211-066-N
20,12,Christian,latine,male,CFD-LM-243-075-N
20,13,Esther,white,female,CFD-WF-218-087-N
21,1,Jack,white,male,CFD-WM-202-107-N
21,2,Jacob,asian,male,CFD-AM-252-114-N
21,3,Jonathan,asian,male,CFD-AM-202-079-N
21,4,Ayden,black,male,CFD-BM-205-001-N
21,5,Dylan,latine,male,CFD-LM-214-165-N
21,6,Alexander,white,male,CFD-WM-231-112-N
21,7,Rachel,white,female,CFD-WF-206-147-N
21,8,Melanie,latine,female,CFD-LF-219-223-N
21,9,Emma,latine,female,CFD-LF-217-082-N
21,10,Anna,asian,female,CFD-AF-250-200-N
21,11,Ashley,asian,female,CFD-AF-202-122-N
21,12,Gabriella,white,female,CFD-WF-236-107-N
21,13,Chloe,black,female,CFD-BF-242-154-N
22,1,Olivia,asian,female,CFD-AF-234-208-N
22,2,Victoria,white,female,CFD-WF-219-038-N
22,3,Adam,white,male,CFD-WM-247-084-N
22,4,Gabriella,latine,female,CFD-LF-226-174-N
22,5,Brianna,latine,female,CFD-LF-212-066-N
22,6,Abigail,white,female,CFD-WF-232-161-N
22,7,Anthony,asian,male,CFD-AM-207-108-N
22,8,Arianna,black,female,CFD-BF-212-315-N
22,9,Aiden,black,male,CFD-BM-239-136-N
22,10,Malachi,black,male,CFD-BM-205-001-N
22,11,Sophia,asian,female,CFD-AF-235-170-N
22,12,Jacob,latine,male,CFD-LM-214-165-N
22,13,Mason,latine,male,CFD-LM-200-045-N
23,1,Matthew,latine,male,CFD-LM-252-076-N
23,2,Laila,black,female,CFD-BF-242-154-N
23,3,Adam,white,male,CFD-WM-251-002-N
23,4,Jacob,white,male,CFD-WM-219-008-N
23,5,Jayden,asian,male,CFD-AM-207-108-N
23,6,Ella,white,female,CFD-WF-218-087-N
23,7,Leslie,latine,female,CFD-LF-219-223-N
23,8,Gabriella,white,female,CFD-WF-244-163-N
23,9,Amy,latine,female,CFD-LF-239-148-N
23,10,Sophia,asian,female,CFD-AF-208-003-N
23,11,Sarah,black,female,CFD-BF-217-189-N
23,12,Ivy,asian,female,CFD-AF-216-106-N
23,13,Malachi,black,male,CFD-BM-247-240-N
24,1,Makayla,black,female,CFD-BF-235-168-N
24,2,Abigail,latine,female,CFD-LF-215-157-N
24,3,Alexander,latine,male,CFD-LM-239-075-N
24,4,Laila,black,female,CFD-BF-217-189-N
24,5,Lucas,white,male,CFD-WM-238-020-N
24,6,Samantha,latine,female,CFD-LF-225-164-N
24,7,Jason,asian,male,CFD-AM-228-214-N
24,8,Mia,white,female,CFD-WF-211-001-N
24,9,Fiona,asian,female,CFD-AF-227-207-N
24,10,Joseph,white,male,CFD-WM-219-008-N
24,11,Ryan,latine,male,CFD-LM-244-068-N
24,12,Eric,asian,male,CFD-AM-242-176-N
24,13,Matthew,black,male,CFD-BM-237-188-N
25,1,Alex,asian,male,CFD-AM-246-184-N
25,2,Valentina,latine,female,CFD-LF-222-147-N
25,3,Mia,black,female,CFD-BF-235-168-N
25,4,Chloe,asian,female,CFD-AF-246-242-N
25,5,Charlotte,white,female,CFD-WF-243-148-N
25,6,David,latine,male,CFD-LM-231-214-N
25,7,Leslie,latine,female,CFD-LF-213-079-N
25,8,Nicholas,white,male,CFD-WM-235-147-N
25,9,Andy,asian,male,CFD-AM-203-086-N
25,10,Iris,asian,female,CFD-AF-234-208-N
25,11,Mason,black,male,CFD-BM-246-192-N
25,12,Matthew,white,male,CFD-WM-238-020-N
25,13,Anna,white,female,CFD-WF-252-159-N
26,1,Sophia,asian,female,CFD-AF-221-147-N
26,2,Valentina,latine,female,CFD-LF-207-198-N
26,3,Eric,asian,male,CFD-AM-237-154-N
26,4,Arianna,black,female,CFD-BF-201-080-N
26,5,Daniel,white,male,CFD-WM-209-038-N
26,6,Chloe,white,female,CFD-WF-213-031-N
26,7,Elaine,asian,female,CFD-AF-201-060-N
26,8,Ryan,asian,male,CFD-AM-220-134-N
26,9,David,white,male,CFD-WM-229-129-N
26,10,Ethan,black,male,CFD-BM-208-065-N
26,11,Matthew,latine,male,CFD-LM-210-156-N
26,12,Gabriella,latine,female,CFD-LF-229-164-N
26,13,Noah,black,male,CFD-BM-235-226-N
27,1,Jayden,black,male,CFD-BM-205-001-N
27,2,James,white,male,CFD-WM-211-054-N
27,3,Nevaeh,black,female,CFD-BF-210-130-N
27,4,Allison,latine,female,CFD-LF-201-035-N
27,5,Serenity,black,female,CFD-BF-222-240-N
27,6,Ava,white,female,CFD-WF-208-068-N
27,7,Samantha,latine,female,CFD-LF-232-199-N
27,8,Ryan,white,male,CFD-WM-209-038-N
27,9,Olivia,asian,female,CFD-AF-202-122-N
27,10,Anthony,latine,male,CFD-LM-211-128-N
27,11,Liam,black,male,CFD-BM-229-209-N
27,12,Ivan,asian,male,CFD-AM-234-355-N
27,13,Isabella,asian,female,CFD-AF-235-170-N
28,1,Jacob,latine,male,CFD-LM-210-156-N
28,2,Sarah,white,female,CFD-WF-235-121-N
28,3,Andrew,asian,male,CFD-AM-251-124-N
28,4,Valentina,latine,female,CFD-LF-223-064-N
28,5,Angela,asian,female,CFD-AF-233-190-N
28,6,Ethan,white,male,CFD-WM-202-107-N
28,7,Chloe,black,female,CFD-BF-210-130-N
28,8,Kayla,black,female,CFD-BF-221-223-N
28,9,Nicole,latine,female,CFD-LF-207-198-N
28,10,Samuel,white,male,CFD-WM-235-147-N
28,11,Amir,black,male,CFD-BM-239-136-N
28,12,Christopher,black,male,CFD-BM-246-192-N
28,13,Michelle,asian,female,CFD-AF-214-139-N
29,1,Michelle,asian,female,CFD-AF-205-155-N
29,2,Chelsea,black,female,CFD-BF-242-154-N
29,3,Tristan,black,male,CFD-BM-237-188-N
29,4,Ethan,black,male,CFD-BM-246-192-N
29,5,Adrian,latine,male,CFD-LM-238-129-N
29,6,Isabella,latine,female,CFD-LF-227-054-N
29,7,Aiden,latine,male,CFD-LM-239-075-N
29,8,John,white,male,CFD-WM-211-054-N
29,9,Gabriella,latine,female,CFD-LF-234-139-N
29,10,Elizabeth,white,female,CFD-WF-244-163-N
29,11,Lucas,asian,male,CFD-AM-246-184-N
29,12,Ryan,asian,male,CFD-AM-225-102-N
29,13,William,white,male,CFD-WM-239-128-N
30,1,Chloe,black,female,CFD-BF-242-154-N
30,2,Jonathan,asian,male,CFD-AM-208-143-N
30,3,Zoe,black,female,CFD-BF-216-132-N
30,4,Isabella,white,female,CFD-WF-243-148-N
30,5,Emily,latine,female,CFD-LF-244-096-N
30,6,Nicole,latine,female,CFD-LF-254-125-N
30,7,Dylan,latine,male,CFD-LM-243-075-N
30,8,Leah,white,female,CFD-WF-207-014-N
30,9,Sarah,asian,female,CFD-AF-217-155-N
30,10,Christopher,black,male,CFD-BM-210-148-N
30,11,Anna,asian,female,CFD-AF-202-122-N
30,12,Benjamin,white,male,CFD-WM-203-023-N
30,13,William,white,male,CFD-WM-202-107-N
31,1,Ashley,asian,female,CFD-AF-224-026-N
