study,sub_id,measurement_id,model,param_name,param_value,neg_loglik
Study 1,18,D1,bfs,search_threshold,5.228645007361702,73.48662746610614
Study 1,18,D1,bfs,lapse_rate,5.846507360411223e-7,73.48662746610614
Study 1,18,D1,hybrid,search_threshold,0.22229640953415664,72.31665186530601
Study 1,18,D1,hybrid,sr_gamma,1.999394541070555e-7,72.31665186530601
Study 1,18,D1,hybrid,softmax_temperature,1.0306954691394352,72.31665186530601
Study 1,18,D1,sr,sr_gamma,1.4689845206501448e-12,72.00369470702505
Study 1,18,D1,sr,softmax_temperature,0.10353051865223928,72.00369470702505
Study 1,18,D1,sr,lapse_rate,0.44677227260848545,72.00369470702505
Study 1,19,D1,bfs,search_threshold,10.061490286262588,49.0811008613338
Study 1,19,D1,bfs,lapse_rate,0.07853625716553993,49.0811008613338
Study 1,19,D1,hybrid,search_threshold,2.3678513358659425e-6,47.56100548338238
Study 1,19,D1,hybrid,sr_gamma,0.6640134845894802,47.56100548338238
Study 1,19,D1,hybrid,softmax_temperature,1.2609907415758472,47.56100548338238
Study 1,19,D1,sr,sr_gamma,0.5072367034305453,45.88575633551373
Study 1,19,D1,sr,softmax_temperature,0.29749366366398866,45.88575633551373
Study 1,19,D1,sr,lapse_rate,0.06755166523468079,45.88575633551373
Study 1,20,D1,bfs,search_threshold,8.151748549625264,58.47207669780312
